FID,LAT,LONG_,ELEV,block,dailymet_livneh2013,dailywrf_salathe2014,dailymet_livneh2013_wrfbc,dailymet_livneh2013_wrfbc_global
10,48.34375,-121.53125,164.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.53125
11,48.28125,-121.03125,1768.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.03125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.03125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.03125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.03125
12,48.28125,-121.09375,1404.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.09375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.09375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.09375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.09375
13,48.28125,-121.15625,1346.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.15625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.15625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.15625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.15625
14,48.28125,-121.21875,1087.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.21875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.21875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.21875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.21875
15,48.28125,-121.28125,1024.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.28125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.28125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.28125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.28125
16,48.28125,-121.34375,856.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.34375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.34375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.34375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.34375
17,48.28125,-121.40625,557.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.40625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.40625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.40625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.40625
18,48.28125,-121.46875,996.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.46875
19,48.28125,-121.53125,343.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.28125_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.28125_-121.53125
